design,Android Design Principles | Android Developers,"... people took time to create and let them access it from anywhere. Remember settings, personal touches, and creations across phones, tablets, and computers.", https://developer.android.com/design/get-started/principles.html
training,Building Your First App,"If you're new to Android app development, this where you should begin. This series of lessons shows you how to create a new project, build a simple app, and  …", https://developer.android.com/training/basics/firstapp/index.html?...
studio,Cómo descargar Android Studio y SDK Tools | Android Studio,"Download the official Android IDE and developer tools to build apps for Android phones, tablets, wearables, TVs, and more.", https://developer.android.com/studio/index.html?hl=es-419
studio,Profiling with Traceview and dmtracedump | Android Studio,"We refer to calling methods as ""parents"" and called methods as ""children. ... on a device or emulator, you must copy those files to your development computer.", https://developer.android.com/studio/profile/traceview.html
reference,android.media | Android Developers,"android.media. Provides classes that manage various media interfaces in audio and video. The Media APIs are used to play and, in some cases, record media …", https://developer.android.com/reference/.../package-summary.html
distribute,Designed for Families | Android Developers,Designed for Families ????????????????????????? ???, https://developer.android.com/distribute/googleplay/.../about.html?hl…
distribute,??? ???? ????? | Android Developers,????????? ??? ???? ????? ???????? ??????? ???? ?????????? ? ???? ????? ?????????? ??? ???????? ?????????????., https://developer.android.com/distribute/googleplay/.../about.html?hl...
reference,Class Index | Android Developers,"AdapterView<T extends Adapter>, An AdapterView is a view whose children are determined ... view which has a notion of progressing through its set of children.", https://developer.android.com/reference/classes.html
blog,Android Developers,The official site for Android developers. Provides the Android SDK and documentation for app developers and designers., https://developer.android.com/
