 LG G6
 LG G5
 LG G3
 LG G4
 LG V20
 LG K10
 LG Nexus 5
 LG V10
 LG Nexus 5X
 LG G2
 LG X power
 LG K8
 LG Stylus 2
 LG G4 Stylus
 LG K10 (2017)
 LG Stylus 2 Plus
 LG Stylo 2
 LG K7
 LG G5 SE
 LG Stylus 3
 LG Watch Sport
 LG X cam
 LG Watch Style
 LG Magna
 LG K4
 LG G3 Stylus
 LG G Flex2
 LG X screen
 LG Nexus 4 E960
 LG K8 (2017)
 LG K5
 LG G3 S
 LG Leon
 LG L70 Dual D325
 LG G Pro 2
 LG Spirit
 LG G Flex
 LG G4 Dual
 LG Optimus G Pro E985
 LG G2 mini
 LG L Bello
 LG G4 Beat
 LG G Stylo
 LG Zero
 LG Optimus G E975
 LG X style
 LG U
 LG G Pro Lite Dual
 LG L Fino
 LG Optimus L7 P700
 LG X max
 LG K3
 LG K4 (2017)
 LG G3 LTE-A
 LGL90 D405
 LGG Pro Lite
 LGG4c
 LGL80 Dual
 LGOptimus L9 P760
 LGX mach
 LG X5
 LG Optimus L3 E400
 LG Optimus L1 II E410
 LG G Pad III 10.1 FHD
 LG G3 Dual-LTE
 LG X Skin
 LG G3 (CDMA)
 LG K3 (2017)
 LG L90 Dual D410
 LG Wine Smart
