time=58293ms


BODY: left=0,top=0,right=1423,bottom=8621; DOM="[object HTMLBodyElement]"
LABEL: left=514,top=243,right=628,bottom=259; DOM="[object HTMLLabelElement]"

DIV: left=655,top=240,right=801,bottom=262; DOM="[object HTMLDivElement]"

A: left=655,top=243,right=797,bottom=259; DOM="http://www.alibaba.com/products/F0/home_business/------------ASS.html"

LABEL: left=655,top=243,right=797,bottom=259; DOM="[object HTMLLabelElement]"

DIV: left=233,top=275,right=1211,bottom=315; DOM="[object HTMLDivElement]"

DIV: left=233,top=275,right=1211,bottom=315; DOM="[object HTMLDivElement]"

DIV: left=233,top=283,right=425,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=233,top=283,right=425,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=1134,top=283,right=1209,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=919,top=283,right=1134,bottom=306; DOM="[object HTMLDivElement]"

DIV: left=978,top=283,right=1134,bottom=306; DOM="[object HTMLDivElement]"

DIV: left=827,top=283,right=920,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=827,top=283,right=920,bottom=307; DOM="[object HTMLDivElement]"

A: left=835,top=283,right=912,bottom=307; DOM="http://www.alibaba.com/products/F0/home_business/------------------ATM.html"

LABEL: left=835,top=283,right=912,bottom=307; DOM="[object HTMLLabelElement]"

DIV: left=673,top=283,right=827,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=673,top=283,right=827,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=685,top=283,right=815,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=685,top=283,right=815,bottom=307; DOM="[object HTMLDivElement]"

DIV: left=233,top=315,right=1211,bottom=6658; DOM="[object HTMLDivElement]"

DIV: left=234,top=316,right=1210,bottom=567; DOM="[object HTMLDivElement]"
DIV: left=234,top=567,right=1210,bottom=818; DOM="[object HTMLDivElement]"
DIV: left=234,top=818,right=1210,bottom=1069; DOM="[object HTMLDivElement]"
DIV: left=234,top=1069,right=1210,bottom=1320; DOM="[object HTMLDivElement]"
DIV: left=234,top=1320,right=1210,bottom=1571; DOM="[object HTMLDivElement]"
DIV: left=234,top=1571,right=1210,bottom=1822; DOM="[object HTMLDivElement]"
DIV: left=234,top=1822,right=1210,bottom=2073; DOM="[object HTMLDivElement]"
DIV: left=234,top=2073,right=1210,bottom=2324; DOM="[object HTMLDivElement]"
DIV: left=234,top=2324,right=1210,bottom=2575; DOM="[object HTMLDivElement]"
DIV: left=234,top=2575,right=1210,bottom=2826; DOM="[object HTMLDivElement]"
DIV: left=234,top=2826,right=1210,bottom=3077; DOM="[object HTMLDivElement]"
DIV: left=234,top=3077,right=1210,bottom=3328; DOM="[object HTMLDivElement]"
DIV: left=234,top=3328,right=1210,bottom=3579; DOM="[object HTMLDivElement]"
DIV: left=234,top=3579,right=1210,bottom=3830; DOM="[object HTMLDivElement]"
DIV: left=234,top=3830,right=1210,bottom=4081; DOM="[object HTMLDivElement]"
DIV: left=234,top=4081,right=1210,bottom=4332; DOM="[object HTMLDivElement]"
DIV: left=234,top=4332,right=1210,bottom=4583; DOM="[object HTMLDivElement]"
DIV: left=234,top=4583,right=1210,bottom=4834; DOM="[object HTMLDivElement]"
DIV: left=234,top=4834,right=1210,bottom=5085; DOM="[object HTMLDivElement]"
DIV: left=234,top=5085,right=1210,bottom=5336; DOM="[object HTMLDivElement]"
DIV: left=234,top=5336,right=1210,bottom=5587; DOM="[object HTMLDivElement]"
DIV: left=234,top=5587,right=1210,bottom=5838; DOM="[object HTMLDivElement]"
DIV: left=234,top=5838,right=1210,bottom=6089; DOM="[object HTMLDivElement]"
DIV: left=234,top=6089,right=1210,bottom=6340; DOM="[object HTMLDivElement]"
DIV: left=234,top=6340,right=1210,bottom=6591; DOM="[object HTMLDivElement]"

DIV: left=234,top=316,right=1210,bottom=567; DOM="[object HTMLDivElement]"

DIV: left=234,top=316,right=1210,bottom=554; DOM="[object HTMLDivElement]"

DIV: left=242,top=328,right=1202,bottom=510; DOM="[object HTMLDivElement]"

DIV: left=242,top=328,right=1202,bottom=510; DOM="[object HTMLDivElement]"

DIV: left=424,top=328,right=922,bottom=510; DOM="[object HTMLDivElement]"

DIV: left=440,top=328,right=905,bottom=484; DOM="[object HTMLDivElement]"

H2: left=440,top=328,right=905,bottom=348; DOM="[object HTMLHeadingElement]"

A: left=440,top=329,right=715,bottom=347; DOM="http://www.alibaba.com/product-detail/Electronic-safe-for-home-and-business_1284807928.html?s=p"

DIV: left=440,top=364,right=905,bottom=484; DOM="[object HTMLDivElement]"

DIV: left=440,top=364,right=604,bottom=433; DOM="[object HTMLDivElement]"

DIV: left=440,top=364,right=584,bottom=387; DOM="[object HTMLDivElement]"

DIV: left=440,top=399,right=584,bottom=422; DOM="[object HTMLDivElement]"

DIV: left=604,top=364,right=905,bottom=484; DOM="[object HTMLDivElement]"

DIV: left=604,top=364,right=905,bottom=384; DOM="[object HTMLDivElement]"

DIV: left=604,top=384,right=905,bottom=404; DOM="[object HTMLDivElement]"

DIV: left=604,top=404,right=905,bottom=424; DOM="[object HTMLDivElement]"

DIV: left=604,top=424,right=905,bottom=444; DOM="[object HTMLDivElement]"

DIV: left=604,top=444,right=905,bottom=464; DOM="[object HTMLDivElement]"

DIV: left=604,top=464,right=905,bottom=484; DOM="[object HTMLDivElement]"

DIV: left=242,top=328,right=424,bottom=510; DOM="[object HTMLDivElement]"

DIV: left=242,top=328,right=424,bottom=510; DOM="[object HTMLDivElement]"

DIV: left=242,top=328,right=424,bottom=510; DOM="[object HTMLDivElement]"

A: left=242,top=328,right=422,bottom=508; DOM="http://www.alibaba.com/product-detail/Electronic-safe-for-home-and-business_1284807928.html?s=p"

DIV: left=922,top=328,right=1202,bottom=422; DOM="[object HTMLDivElement]"

DIV: left=938,top=322,right=1202,bottom=422; DOM="[object HTMLDivElement]"

DIV: left=938,top=322,right=1202,bottom=346; DOM="[object HTMLDivElement]"

DIV: left=938,top=350,right=1202,bottom=368; DOM="[object HTMLDivElement]"

UL: left=938,top=381,right=1202,bottom=423; DOM="[object HTMLUListElement]"

LI: left=938,top=381,right=1020,bottom=423; DOM="[object HTMLLIElement]"

DIV: left=242,top=522,right=1202,bottom=554; DOM="[object HTMLDivElement]"

DIV: left=242,top=522,right=1202,bottom=550; DOM="[object HTMLDivElement]"

DIV: left=242,top=522,right=922,bottom=550; DOM="[object HTMLDivElement]"

DIV: left=242,top=522,right=906,bottom=550; DOM="[object HTMLDivElement]"

A: left=242,top=522,right=422,bottom=550; DOM="javascript:;"

DIV: left=242,top=522,right=422,bottom=550; DOM="[object HTMLDivElement]"

LABEL: left=242,top=522,right=422,bottom=550; DOM="[object HTMLLabelElement]"

DIV: left=922,top=522,right=1202,bottom=554; DOM="[object HTMLDivElement]"

DIV: left=938,top=522,right=1202,bottom=554; DOM="[object HTMLDivElement]"

DIV: left=234,top=567,right=1210,bottom=818; DOM="[object HTMLDivElement]"

DIV: left=234,top=567,right=1210,bottom=805; DOM="[object HTMLDivElement]"

DIV: left=242,top=579,right=1202,bottom=761; DOM="[object HTMLDivElement]"

DIV: left=242,top=579,right=1202,bottom=761; DOM="[object HTMLDivElement]"

DIV: left=424,top=579,right=922,bottom=761; DOM="[object HTMLDivElement]"

DIV: left=440,top=579,right=905,bottom=735; DOM="[object HTMLDivElement]"

H2: left=440,top=579,right=905,bottom=599; DOM="[object HTMLHeadingElement]"

A: left=440,top=580,right=857,bottom=598; DOM="http://www.alibaba.com/product-detail/Micro-beer-brewing-equipment-for-small_60250475441.html?s=p"

DIV: left=440,top=615,right=905,bottom=735; DOM="[object HTMLDivElement]"

DIV: left=440,top=615,right=604,bottom=684; DOM="[object HTMLDivElement]"

DIV: left=440,top=615,right=584,bottom=638; DOM="[object HTMLDivElement]"

DIV: left=440,top=650,right=584,bottom=673; DOM="[object HTMLDivElement]"

DIV: left=604,top=615,right=905,bottom=735; DOM="[object HTMLDivElement]"

DIV: left=604,top=615,right=905,bottom=635; DOM="[object HTMLDivElement]"

DIV: left=604,top=635,right=905,bottom=655; DOM="[object HTMLDivElement]"

DIV: left=604,top=655,right=905,bottom=675; DOM="[object HTMLDivElement]"

DIV: left=604,top=675,right=905,bottom=695; DOM="[object HTMLDivElement]"

DIV: left=604,top=695,right=905,bottom=715; DOM="[object HTMLDivElement]"

DIV: left=604,top=715,right=905,bottom=735; DOM="[object HTMLDivElement]"

DIV: left=242,top=579,right=424,bottom=761; DOM="[object HTMLDivElement]"

DIV: left=242,top=579,right=424,bottom=761; DOM="[object HTMLDivElement]"

DIV: left=242,top=579,right=424,bottom=761; DOM="[object HTMLDivElement]"

A: left=242,top=579,right=422,bottom=759; DOM="http://www.alibaba.com/product-detail/Micro-beer-brewing-equipment-for-small_60250475441.html?s=p"

DIV: left=922,top=579,right=1202,bottom=695; DOM="[object HTMLDivElement]"

DIV: left=938,top=573,right=1202,bottom=695; DOM="[object HTMLDivElement]"

DIV: left=938,top=573,right=1202,bottom=597; DOM="[object HTMLDivElement]"

DIV: left=938,top=601,right=1202,bottom=619; DOM="[object HTMLDivElement]"

SPAN: left=1045,top=602,right=1172,bottom=620; DOM="[object HTMLSpanElement]"

DIV: left=938,top=624,right=1202,bottom=642; DOM="[object HTMLDivElement]"

DIV: left=938,top=624,right=1202,bottom=642; DOM="[object HTMLDivElement]"

UL: left=938,top=654,right=1202,bottom=696; DOM="[object HTMLUListElement]"

LI: left=938,top=654,right=1071,bottom=696; DOM="[object HTMLLIElement]"

DIV: left=938,top=654,right=1071,bottom=674; DOM="[object HTMLDivElement]"

LI: left=1081,top=654,right=1163,bottom=696; DOM="[object HTMLLIElement]"

DIV: left=242,top=773,right=1202,bottom=805; DOM="[object HTMLDivElement]"

DIV: left=242,top=773,right=1202,bottom=801; DOM="[object HTMLDivElement]"

DIV: left=242,top=773,right=922,bottom=801; DOM="[object HTMLDivElement]"

DIV: left=242,top=773,right=906,bottom=801; DOM="[object HTMLDivElement]"

A: left=242,top=773,right=422,bottom=801; DOM="javascript:;"

DIV: left=242,top=773,right=422,bottom=801; DOM="[object HTMLDivElement]"

LABEL: left=242,top=773,right=422,bottom=801; DOM="[object HTMLLabelElement]"

DIV: left=922,top=773,right=1202,bottom=805; DOM="[object HTMLDivElement]"

DIV: left=938,top=773,right=1202,bottom=805; DOM="[object HTMLDivElement]"

DIV: left=234,top=818,right=1210,bottom=1069; DOM="[object HTMLDivElement]"

DIV: left=234,top=818,right=1210,bottom=1056; DOM="[object HTMLDivElement]"

