time=7305ms


BODY: left=0,top=0,right=1423,bottom=7490; DOM="[object HTMLBodyElement]"
A: left=550,top=221,right=698,bottom=236; DOM="file:///C:/dataset-2017/11-%20Regional/4-%20Ebay.co.uk/1-%20world%20games-keyword/eBay.htm#save"

DIV: left=1006,top=215,right=1120,bottom=248; DOM="[object HTMLDivElement]"

SPAN: left=1006,top=221,right=1120,bottom=242; DOM="[object HTMLSpanElement]"

DIV: left=351,top=248,right=1120,bottom=6846; DOM="[object HTMLDivElement]"

DIV: left=351,top=264,right=1120,bottom=6846; DOM="[object HTMLDivElement]"

DIV: left=351,top=264,right=1120,bottom=6846; DOM="[object HTMLDivElement]"

DIV: left=351,top=264,right=1120,bottom=6846; DOM="[object HTMLDivElement]"

W-ROOT: left=351,top=252,right=1120,bottom=6691; DOM="[object HTMLElement]"

DIV: left=351,top=264,right=1120,bottom=6703; DOM="[object HTMLDivElement]"

DIV: left=351,top=264,right=1120,bottom=6703; DOM="[object HTMLDivElement]"

UL: left=351,top=264,right=1120,bottom=6703; DOM="[object HTMLUListElement]"

DIV: left=351,top=273,right=576,bottom=498; DOM="[object HTMLDivElement]"

DIV: left=351,top=273,right=576,bottom=498; DOM="[object HTMLDivElement]"

DIV: left=351,top=273,right=578,bottom=500; DOM="[object HTMLDivElement]"

A: left=351,top=273,right=576,bottom=498; DOM="http://www.ebay.co.uk/itm/PS3-Call-of-Duty-World-at-War-COD-WAW-New-Sealed-Official-UK-Stock-/142271979273?hash=item2120121f09:g:eLwAAOSwnHZYWA1a"

H3: left=591,top=271,right=1120,bottom=311; DOM="[object HTMLHeadingElement]"
UL: left=591,top=313,right=776,bottom=413; DOM="[object HTMLUListElement]"
UL: left=776,top=313,right=1091,bottom=363; DOM="[object HTMLUListElement]"

H3: left=591,top=271,right=1120,bottom=311; DOM="[object HTMLHeadingElement]"

A: left=591,top=272,right=1053,bottom=311; DOM="http://www.ebay.co.uk/itm/PS3-Call-of-Duty-World-at-War-COD-WAW-New-Sealed-Official-UK-Stock-/142271979273?hash=item2120121f09:g:eLwAAOSwnHZYWA1a"

UL: left=591,top=313,right=776,bottom=413; DOM="[object HTMLUListElement]"

LI: left=591,top=321,right=768,bottom=343; DOM="[object HTMLLIElement]"

LI: left=591,top=343,right=768,bottom=365; DOM="[object HTMLLIElement]"

SPAN: left=591,top=334,right=645,bottom=349; DOM="[object HTMLSpanElement]"

LI: left=591,top=365,right=768,bottom=385; DOM="[object HTMLLIElement]"

SPAN: left=591,top=367,right=685,bottom=382; DOM="[object HTMLSpanElement]"

DIV: left=591,top=397,right=768,bottom=413; DOM="[object HTMLDivElement]"

UL: left=776,top=313,right=1091,bottom=363; DOM="[object HTMLUListElement]"

LI: left=784,top=321,right=1092,bottom=354; DOM="[object HTMLLIElement]"

SPAN: left=789,top=326,right=907,bottom=349; DOM="[object HTMLSpanElement]"

DIV: left=351,top=521,right=576,bottom=746; DOM="[object HTMLDivElement]"

DIV: left=351,top=521,right=576,bottom=746; DOM="[object HTMLDivElement]"

DIV: left=351,top=521,right=578,bottom=748; DOM="[object HTMLDivElement]"

A: left=351,top=521,right=576,bottom=746; DOM="http://www.ebay.co.uk/itm/PS3-PIRATES-OF-THE-CARIBBEAN-AT-WORLDS-END-PS3-GAME-NEW-/302171970290?hash=item465ada5af2:g:6n4AAOSw6DtYWVds"

H3: left=591,top=519,right=1120,bottom=559; DOM="[object HTMLHeadingElement]"
UL: left=591,top=561,right=776,bottom=661; DOM="[object HTMLUListElement]"
UL: left=776,top=561,right=1091,bottom=579; DOM="[object HTMLUListElement]"

H3: left=591,top=519,right=1120,bottom=559; DOM="[object HTMLHeadingElement]"

UL: left=591,top=561,right=776,bottom=661; DOM="[object HTMLUListElement]"

LI: left=591,top=569,right=768,bottom=591; DOM="[object HTMLLIElement]"

LI: left=591,top=591,right=768,bottom=613; DOM="[object HTMLLIElement]"

SPAN: left=591,top=582,right=645,bottom=597; DOM="[object HTMLSpanElement]"
